"","RTFS Sensitivity","RTFS Specificity","RTFS PPV","RTFS NPV","Null Sensitivity","Null Specificity","Null PPV","Null NPV","diffTP","diffFN","diffTN","diffFP","diffCorrect"
"0",1,0,0.0388433318946914,NA,1,0,0.0388433318946914,NA,0,0,0,0,0
"0.1",0.555555555555556,0.928378985181859,0.238663484486874,0.981020166073547,0.388888888888889,0.92860350246969,0.180412371134021,0.974093264248705,550,-550,-1.50426582846831,1.50426582846853,548.495734171532
"0.2",0.305555555555556,0.978446340368208,0.364238410596026,0.97211688601383,0.144444444444444,0.983385720700494,0.26,0.966034406704896,531.666666666667,-531.666666666667,-33.0938482263136,33.0938482263134,498.572818440353
"0.3",0.155555555555556,0.991019308486753,0.411764705882352,0.966710468681559,0.0666666666666667,0.995285136955546,0.363636363636362,0.963486198652467,293.333333333333,-293.333333333333,-28.5810507409078,28.581050740907,264.752282592426
"0.4",0.111111111111111,0.995734171531208,0.512820512820513,0.965179542981502,0.0444444444444444,0.99797934440952,0.470588235294116,0.962746372103097,220,-220,-15.0426582846876,15.0426582846878,204.957341715312
"0.5",0.0333333333333333,0.99797934440952,0.399999999999998,0.962329508551635,0.0388888888888889,0.999101930848675,0.636363636363644,0.962578412286394,-18.3333333333333,18.333333333333,-7.52132914234426,7.52132914234426,-25.8546624756776
"0.6",0.0277777777777778,0.999101930848675,0.555555555555564,0.962162162162162,0.0166666666666667,0.999326448136507,0.499999999999998,0.961754537597234,36.6666666666667,-36.6666666666665,-1.50426582846831,1.50426582846855,35.1624008381984
"0.7",0.0222222222222222,0.999550965424338,0.666666666666647,0.961970613656007,0.0111111111111111,0.999550965424338,0.499999999999978,0.961555075593952,36.6666666666667,-36.666666666667,0,0,36.6666666666667
"0.8",0.0222222222222222,0.999550965424338,0.666666666666647,0.961970613656007,0.00555555555555556,0.999550965424338,0.333333333333314,0.961347441157417,55,-55,0,0,55
"0.9",0.00555555555555556,0.999775482712169,0.50000000000004,0.961355785837651,0,0.999775482712169,0,0.961148284049212,18.3333333333333,-18.3333333333335,0,0,18.3333333333333
"1",0,1,NA,0.961156668105309,0,1,NA,0.961156668105309,0,0,0,0,0
